model,element,n_all,spearman_all,pearson_all,n_hc,spearman_hc,pearson_hc,n_lc,spearman_lc,pearson_lc
NG1_noise_gated,HBG1,633,0.30546149360700575,0.546065686733044,125,0.6303225372772372,0.6583091843888348,508,0.1724117645422058,0.12600054528662533
NG1_noise_gated,PKLR,1025,0.30400297956217726,0.4242155408781108,180,0.5915831046696903,0.5569476878183172,845,0.14265028145553815,0.18974592388575418
NG2_noise_gated,GP1BB,869,0.29677914668619015,0.43280719495926356,143,0.6682832185093033,0.5597466658331121,726,0.10960044384165996,0.20035652739935628
NG2_noise_gated,HBB,432,0.3301112166984359,0.37409896381334296,64,0.5344181896620638,0.5512841567769907,368,0.23828324121346786,0.28133031672462916
NG2_noise_gated,HBG1,633,0.4041639708081523,0.5437250288046955,125,0.6894570449424354,0.6731080157171582,508,0.24859321936272863,0.19128619057419757
NG2_noise_gated,PKLR,1025,0.25550064719255755,0.4005104622476268,180,0.585894399968236,0.5262383997161432,845,0.08880186621960685,0.12978763425041379
NG3_noise_gated,GP1BB,869,0.24851238742054466,0.3855714198355129,143,0.6078507330284267,0.5014427707936117,726,0.08217065460355535,0.16058384395297196
NG3_noise_gated,HBB,432,0.37878738047538046,0.4905769041542386,64,0.5724567024327964,0.7115474696800411,368,0.2834491519076863,0.320305943197831
NG3_noise_gated,HBG1,633,0.33450031177617084,0.49751270745798476,125,0.6113607785449983,0.6235914660103637,508,0.18285657962678253,0.16200835794383356
NG3_noise_gated,PKLR,1025,0.3689013402563705,0.5703337910279979,180,0.6494578812037486,0.6646707873203617,845,0.20334654603093114,0.2744404926885211
NG4_adaptive_ng,GP1BB,869,0.24793749023157047,0.4309226143190195,143,0.5618850202893385,0.5042566303666977,726,0.07992869333339213,0.1306612812041194
NG4_adaptive_ng,HBB,432,0.3640363216588754,0.48105516108838736,64,0.6382679124795096,0.6372852987374718,368,0.24904640872824416,0.3199364896402018
NG4_adaptive_ng,HBG1,633,0.4133180783971243,0.6050808100943396,125,0.7165154224170904,0.6923943771454452,508,0.20085280560232974,0.1685840587797899
NG4_adaptive_ng,PKLR,1025,0.3234505853090696,0.5676505533985513,180,0.6863608964916963,0.7385512898561375,845,0.12895362795805013,0.16592803885491894
NG5_adaptive_ng,GP1BB,869,0.2751582634169798,0.42179438319459583,143,0.6640041404604129,0.5895713106465628,726,0.08065233180394198,0.16068256965688515
NG5_adaptive_ng,HBB,432,0.44243200010283373,0.4618583945800578,64,0.6856327353090905,0.768245206246305,368,0.3276045813313923,0.323594783820889
NG5_adaptive_ng,HBG1,633,0.33015814704225566,0.5509694549029912,125,0.662515430850024,0.6822029739756623,508,0.15891824632539087,0.16468285414673284
NG5_adaptive_ng,PKLR,1025,0.29835249823883153,0.5862698065255268,180,0.6377748929807399,0.7427304203357018,845,0.10708928737598956,0.1629323539267481
NG6_adaptive_ng,GP1BB,869,0.2638397229032835,0.36077963736971763,143,0.6125997913522314,0.5006478649193797,726,0.10316942858661352,0.1518351911088768
NG6_adaptive_ng,HBB,432,0.4218753237128432,0.43349914767675224,64,0.6284603923193448,0.581912843882929,368,0.32887623611102146,0.3297503345556326
NG6_adaptive_ng,HBG1,633,0.3055041060671506,0.4534001439115757,125,0.49973191239955866,0.4798386528484093,508,0.1862416111797722,0.20947455471382687
NG6_adaptive_ng,PKLR,1025,0.3861777155848778,0.5370760572085305,180,0.6488600990674589,0.6449019893303005,845,0.21076950447314746,0.2555799878074488
NG7_noise_gated_mse,GP1BB,869,0.25344173316345525,0.43097954672693145,143,0.6135582227425583,0.48718529506996533,726,0.08314899435971744,0.16440606105702407
NG7_noise_gated_mse,HBB,432,0.40687061020632087,0.5139011557679327,64,0.6588224582357429,0.7090007334265696,368,0.26998341681748345,0.34461944002541717
NG7_noise_gated_mse,HBG1,633,0.3597191038957496,0.6002069149564453,125,0.6703293592985872,0.6805972289149246,508,0.20555796970145995,0.22824213796423637
NG7_noise_gated_mse,PKLR,1025,0.35724132829140676,0.5976756014075635,180,0.6933058696757832,0.7351187542476352,845,0.17426802405343358,0.2072126367999485
NG8_ng_alpha05,GP1BB,869,0.3138478664533014,0.4729817977871402,143,0.6840922056606716,0.5224840534762388,726,0.11531009572542432,0.1868675508275171
NG8_ng_alpha05,HBB,432,0.4199240364305817,0.4877527828490265,64,0.6526583859855458,0.6626368041780115,368,0.28964804732217897,0.3487358497969626
