model,element,stratification,stratum,n_variants,spearman
bilstm_baseline_mse_seed42,ZFAND3,mutation_type,True,416,0.16333836512159666
bilstm_baseline_mse_seed42,ZFAND3,effect_size,0,386,0.0938800020708059
bilstm_baseline_mse_seed42,ZFAND3,effect_size,1,244,0.02317631634878737
bilstm_baseline_mse_seed42,ZFAND3,effect_size,2,316,0.20744362499611113
bilstm_baseline_mse_seed42,ZFAND3,effect_size,3,301,0.2598637285594974
bilstm_baseline_mse_seed42,ZFAND3,gc_context,0,336,0.2527428067776836
bilstm_baseline_mse_seed42,ZFAND3,gc_context,1,477,0.10374951271374348
bilstm_baseline_mse_seed42,ZFAND3,gc_context,2,240,0.19768600505681408
bilstm_baseline_mse_seed42,ZFAND3,gc_context,3,194,0.2174172784986077
bilstm_ranking_seed42,F9,position,0,144,0.18224231521672565
bilstm_ranking_seed42,F9,position,1,105,0.7603576919124997
bilstm_ranking_seed42,F9,position,2,126,0.24294318204498752
bilstm_ranking_seed42,F9,position,3,170,0.3443509922950639
bilstm_ranking_seed42,F9,position,4,126,0.14571081419639734
bilstm_ranking_seed42,F9,mutation_type,False,447,0.3607860216078367
bilstm_ranking_seed42,F9,mutation_type,True,224,0.3686731503251113
bilstm_ranking_seed42,F9,effect_size,0,171,0.06985397417385303
bilstm_ranking_seed42,F9,effect_size,1,168,0.24714705757822908
bilstm_ranking_seed42,F9,effect_size,2,169,0.2878613582132451
bilstm_ranking_seed42,F9,effect_size,3,163,0.651835995183242
bilstm_ranking_seed42,F9,gc_context,0,206,0.29732027643846526
bilstm_ranking_seed42,F9,gc_context,1,162,0.48738904071611183
bilstm_ranking_seed42,F9,gc_context,2,225,0.339926758430286
bilstm_ranking_seed42,F9,gc_context,3,78,0.2998488485049737
bilstm_ranking_seed42,GP1BB,position,0,186,0.10023099937103135
bilstm_ranking_seed42,GP1BB,position,1,150,0.5219773365473749
bilstm_ranking_seed42,GP1BB,position,2,168,0.4492801578445579
bilstm_ranking_seed42,GP1BB,position,3,183,0.38880075112641793
bilstm_ranking_seed42,GP1BB,position,4,182,-0.039565118072496075
bilstm_ranking_seed42,GP1BB,mutation_type,False,579,0.27496327180548635
bilstm_ranking_seed42,GP1BB,mutation_type,True,290,0.35527619261344373
bilstm_ranking_seed42,GP1BB,effect_size,0,239,-0.04074882793389123
bilstm_ranking_seed42,GP1BB,effect_size,1,210,0.082593749263852
bilstm_ranking_seed42,GP1BB,effect_size,2,207,0.05828473871815527
bilstm_ranking_seed42,GP1BB,effect_size,3,213,0.5550251394004542
bilstm_ranking_seed42,GP1BB,gc_context,0,239,0.21215599105382502
bilstm_ranking_seed42,GP1BB,gc_context,1,228,0.06385958323912727
bilstm_ranking_seed42,GP1BB,gc_context,2,276,0.4008769410310238
bilstm_ranking_seed42,GP1BB,gc_context,3,126,0.5785219793577528
bilstm_ranking_seed42,HBB,position,0,60,-0.03899537569669324
bilstm_ranking_seed42,HBB,position,1,105,0.24447723467995222
bilstm_ranking_seed42,HBB,position,2,75,0.3225283926914653
bilstm_ranking_seed42,HBB,position,3,87,0.744690354774863
bilstm_ranking_seed42,HBB,position,4,105,0.4648057753330948
bilstm_ranking_seed42,HBB,mutation_type,False,288,0.4009661650082425
bilstm_ranking_seed42,HBB,mutation_type,True,144,0.4537665524521599
bilstm_ranking_seed42,HBB,effect_size,0,109,-0.09875096038944413
bilstm_ranking_seed42,HBB,effect_size,1,108,0.19261295576544174
bilstm_ranking_seed42,HBB,effect_size,2,115,0.41630842568089615
bilstm_ranking_seed42,HBB,effect_size,3,100,0.5630017058930302
bilstm_ranking_seed42,HBB,gc_context,0,156,0.1391724008193182
bilstm_ranking_seed42,HBB,gc_context,1,99,0.40794360451421113
bilstm_ranking_seed42,HBB,gc_context,2,84,0.45854419171108046
bilstm_ranking_seed42,HBB,gc_context,3,93,0.7570668407064354
bilstm_ranking_seed42,HBG1,position,0,117,0.18532158760811449
bilstm_ranking_seed42,HBG1,position,1,117,0.29917947335975603
bilstm_ranking_seed42,HBG1,position,2,117,0.3339297795237239
bilstm_ranking_seed42,HBG1,position,3,165,0.7333567779560656
bilstm_ranking_seed42,HBG1,position,4,117,0.2569752341235982
bilstm_ranking_seed42,HBG1,mutation_type,False,422,0.43380144898754347
bilstm_ranking_seed42,HBG1,mutation_type,True,211,0.4293360823000204
bilstm_ranking_seed42,HBG1,effect_size,0,184,-0.02624423096989598
bilstm_ranking_seed42,HBG1,effect_size,1,141,0.22020095450839333
bilstm_ranking_seed42,HBG1,effect_size,2,150,0.3305565963684125
bilstm_ranking_seed42,HBG1,effect_size,3,158,0.6978978813966648
bilstm_ranking_seed42,HBG1,gc_context,0,198,0.26229772684980585
bilstm_ranking_seed42,HBG1,gc_context,1,219,0.6231291743801737
bilstm_ranking_seed42,HBG1,gc_context,2,84,0.2457644219854483
bilstm_ranking_seed42,HBG1,gc_context,3,132,0.2844615007581613
bilstm_ranking_seed42,HNF4A,position,0,144,-0.027579847530306963
bilstm_ranking_seed42,HNF4A,position,1,135,0.11642113052221076
bilstm_ranking_seed42,HNF4A,position,2,162,0.3665585760037775
bilstm_ranking_seed42,HNF4A,position,3,87,0.3232035307519847
bilstm_ranking_seed42,HNF4A,position,4,144,0.15504269867199888
bilstm_ranking_seed42,HNF4A,mutation_type,False,448,0.18570767614430322
bilstm_ranking_seed42,HNF4A,mutation_type,True,224,0.1501034938725475
bilstm_ranking_seed42,HNF4A,effect_size,0,168,-0.07705810379760546
bilstm_ranking_seed42,HNF4A,effect_size,1,229,0.06665084528316728
bilstm_ranking_seed42,HNF4A,effect_size,2,128,0.07044789337147282
bilstm_ranking_seed42,HNF4A,effect_size,3,147,0.41560989893810973
bilstm_ranking_seed42,HNF4A,gc_context,0,189,0.2786540811871365
